Pos	Regione	Residenti	%Italia	Numero Comuni	Numero Province
1	Lombardia	10018806	16.5%	1527	12
2	Lazio	5898124	9.7%	378	5
3	Campania	5839084	9.6%	550	5
4	Sicilia	5056641	8.3%	390	9
5	Veneto	4907529	8.1%	576	7
6	Emilia-Romagna	4448841	7.3%	334	9
7	Piemonte	4392526	7.2%	1202	8
8	Puglia	4063888	6.7%	258	6
9	Toscana	3742437	6.2%	279	10
10	Calabria	1965128	3.2%	409	5
11	Sardegna	1653135	2.7%	377	8
12	Liguria	1565307	2.6%	235	4
13	Marche	1538055	2.5%	234	5
14	Abruzzo	1322247	2.2%	305	4
15	Friuli-Venezia Giulia	1217872	2.0%	216	4
16	Trentino-Alto Adige	1062860	1.8%	293	2
17	Umbria	888908	1.5%	92	2
18	Basilicata	570365	0.9%	131	2
19	Molise	310449	0.5%	136	2
20	Valle d'Aosta	126883	0.2%	74	1
